,DateReceived,Website,URLCount,R1Time,CrawlIssues,WebReviewDif,WebsitePriority,ErrorCount,R2Time,TeamLeadSBQ,QMSBQ,CxPending,CxComplete,TotalSBQ,Sent,DateSent,Title,Brand,MFR,BC,Color,Size,IPQ,UC,Model,UPC,MPN,WebExtractionDif,SloppyError,IncorrectVariant,NewEdgeCase,IncorrectGuidance,Other?,Was it a 3?,MXQA_Encoded,TeamLead_Encoded,QM_Encoded,Month_Encoded,DP_Encoded,DualReviewer_Encoded,Batch Status
632,10/18/2021,deerstags.com,17,140,100,5,0,0,71,0,0,True,True,0,True,10/19/2021,3,1,1,2,2,2,1,1,2,2,1,1.69,1,0,0,False,0,False,8,2,6,3,2,21,0
621,10/18/2021,mgchemicals.com,194,500,0,4,1,1,190,0,0,False,False,0,True,10/21/2021,1,1,1,1,2,2,1,1,3,1,1,1.46,1,0,0,False,0,False,34,4,6,3,7,,0
703,10/26/2021,godogfun.com,30,90,0,1,3,0,30,0,0,False,False,0,True,10/26/2021,1,2,2,1,1,1,1,1,1,1,1,1.15,0,0,0,False,0,True,26,3,7,3,8,,1
223,11/16/2021,tourit.com,20,120,0,1,3,4,70,1,0,False,False,1,True,11/17/2021,1,1,1,1,1,1,1,1,2,1,1,1.28,0,0,0,False,0,True,29,3,6,2,8,,1
14,NaT,manicpanic.com,40,139,25,2,2,3,71,0,0,False,False,0,True,NaT,1,1,1,1,1,1,1,1,2,1,1,1,1,0,0,False,0,False,40,3,1,0,2,,0
15,NaT,aquis.com,40,139,25,2,2,3,71,0,0,False,False,0,True,NaT,1,1,1,1,1,1,1,1,2,1,1,1,0,1,0,False,0,False,31,2,4,0,13,,0
945,9/27/2021,ecovacs.com,10,139,0,3,4,2,71,0,0,False,False,0,True,NaT,2,3,2,1,1,1,1,1,1,1,1,1.36,0,0,0,False,0,False,14,4,6,4,8,,1
778,9/27/2021,shop.westerndigital.com,48,139,100,4,1,2,71,0,0,False,False,0,True,NaT,1,1,1,1,4,1,1,1,2,1,1,1.8,1,0,0,False,0,False,13,2,1,4,0,,0
695,10/25/2021,apple.com,30,120,0,3,4,5,90,1,0,False,False,1,True,10/26/2021,1,2,2,2,1,3,1,1,2,2,2,2.06,1,0,0,False,0,False,28,9,6,3,9,,0
972,9/29/2021,otterbox.de,38,150,100,1,3,0,60,0,0,False,False,0,True,9/30/2021,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,False,0,True,34,7,4,4,8,,1
103,11/11/2021,hiletgo.com,30,120,0,1,3,9,80,1,0,False,False,1,True,11/12/2021,1,2,2,1,1,1,1,1,1,1,1,1.53,0,0,0,False,0,True,29,3,6,2,9,,0
20,NaT,vaude.com,40,139,25,2,2,3,71,0,0,False,False,0,True,NaT,1,1,1,1,1,1,1,1,2,1,1,1,1,0,0,False,0,False,38,3,1,1,13,,0
618,10/19/2021,stigaus.com,22,80,0,1,3,1,40,0,0,False,False,0,True,10/19/2021,1,1,2,1,2,1,1,1,1,2,1,1.3,0,0,0,False,0,True,18,0,4,3,8,,1
0,NaT,bedhead.com,40,139,25,2,2,3,71,0,0,False,False,0,True,NaT,1,1,1,1,1,1,1,1,2,1,1,1,1,0,0,False,0,False,11,3,8,0,11,,0
810,9/27/2021,hendi.pl,84,139,100,3,4,2,71,0,0,False,False,0,True,NaT,1,1,1,1,1,2,1,1,3,1,1,1.6,0,0,0,False,0,False,42,2,8,4,8,,1
944,9/27/2021,littlegiantladders.com,22,139,0,1,3,2,71,0,0,False,False,0,True,NaT,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,False,0,True,32,2,4,4,8,,1
301,11/20/2021,medisana.es,46,200,0,1,3,0,15,0,0,False,False,0,True,11/22/2021,1,2,2,2,2,2,2,2,2,2,2,1.92,0,0,0,False,0,True,14,2,1,2,8,,1
542,10/10/2021,parentschoice.org,28,120,0,1,3,0,40,0,0,False,False,0,True,10/11/2021,1,1,1,1,1,1,1,1,2,1,1,1.08,0,0,0,True,0,True,28,9,7,3,3,,0
11,NaT,homefashion.de,40,139,25,2,2,3,71,0,0,False,False,0,True,NaT,1,1,1,1,1,1,1,1,2,1,1,1,1,0,0,False,0,False,2,5,8,0,4,,0
26,NaT,krups.com.pl,40,139,25,2,2,3,71,0,0,False,False,0,True,NaT,1,1,1,1,1,1,1,1,2,1,1,1,1,0,0,False,0,False,9,1,8,1,11,,0
47,11/02/2021,coghlans.com,40,140,0,3,4,3,100,0,0,False,False,0,True,11/03/2021,1,2,2,3,3,3,4,4,1,1,1,2.43,0,0,0,False,0,False,14,2,8,2,8,5,1
27,NaT,rowenta.pl,40,139,25,2,2,3,71,0,0,False,False,0,True,NaT,1,1,1,1,1,1,1,1,2,1,1,1,1,0,0,False,0,False,39,3,8,1,2,,0
170,11/08/2021,kyliecosmetics.com,28,90,0,1,3,0,80,0,0,False,False,0,True,11/09/2021,1,2,2,1,1,1,1,1,3,1,1,1.31,0,0,0,False,0,True,4,4,5,2,8,,1
242,11/15/2021,karmaorganicspa.com,24,150,100,1,3,0,40,0,0,False,False,0,True,11/16/2021,1,1,2,2,1,1,1,1,3,1,1,1.3,0,0,0,False,0,True,26,3,7,2,8,,1
994,9/29/2021,jackjones.com,30,120,100,3,4,0,50,0,0,False,False,0,True,9/29/2021,1,1,2,2,2,2,1,1,1,1,1,1.36,0,0,0,False,0,False,8,3,1,4,8,,1
1075,NaT,natrol.pk,40,139,25,2,2,3,71,0,0,False,False,0,True,NaT,1,1,1,1,1,1,1,1,2,1,1,1,1,0,0,False,0,False,6,7,1,4,12,,0
579,10/21/2021,shop.tooli-art.com,22,120,100,3,4,0,90,0,0,False,False,0,True,10/20/2021,1,1,1,1,1,1,2,2,1,1,1,1.16,0,0,0,False,1,False,30,5,1,3,4,,0
7,NaT,loreal-paris.de,40,139,25,2,2,3,71,0,0,False,False,0,True,NaT,1,1,1,1,1,1,1,1,2,1,1,1,1,0,0,False,0,False,41,,1,0,10,,0
827,9/27/2021,venustasofficial.com,24,139,100,2,3,2,71,0,0,False,False,0,True,NaT,2,1,2,1,2,2,1,1,3,2,1,1.64,0,0,0,False,0,True,13,2,8,4,8,,1
516,10/11/2021,int.safety1st.com,66,120,0,3,4,0,80,0,0,False,False,0,True,10/12/2021,1,2,2,1,2,1,1,1,3,1,1,1.46,1,0,0,False,0,False,16,3,4,3,10,,0
613,10/18/2021,solagua.eu,20,120,0,5,1,0,60,0,0,True,True,0,True,10/20/2021,1,1,2,2,1,1,1,1,1,1,1,1.14,0,0,0,False,0,False,4,4,8,3,8,,1
106,11/11/2021,babybrezza.com,22,100,0,1,3,0,40,0,0,False,False,0,True,11/12/2021,1,1,1,1,1,1,1,1,3,2,1,1,0,0,0,False,0,True,37,0,6,2,8,,1
137,11/09/2021,nyrius.com,21,70,0,3,4,0,20,0,0,False,False,0,True,11/10/2021,1,1,2,1,1,1,1,1,3,2,1,1.31,0,0,0,False,0,False,8,2,1,2,8,,1
823,9/27/2021,store.dietzandwatson.com,20,139,0,1,3,2,71,0,0,False,False,0,True,NaT,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,False,0,True,5,4,4,4,8,,1
16,NaT,burtsbees.fr,40,139,25,2,2,3,71,0,0,False,False,0,True,NaT,1,1,1,1,1,1,1,1,2,1,1,1,1,0,0,False,0,False,15,6,3,1,7,,0
232,11/17/2021,flukenetworks.com,62,120,66,1,3,1,60,0,0,False,False,0,True,11/17/2021,1,2,2,1,1,1,1,1,1,1,1,1.15,0,0,0,False,0,True,37,0,7,2,8,,1
837,9/27/2021,bykski.us,79,139,0,1,3,2,71,0,0,False,False,0,True,NaT,1,3,1,1,3,3,1,1,3,1,1,1.73,0,0,0,False,0,True,13,2,8,4,8,,1
18,NaT,shop.fender.com,40,139,25,2,2,3,71,0,0,False,False,0,True,NaT,1,1,1,1,1,1,1,1,2,1,1,1,0,0,0,False,1,False,11,8,1,1,7,,0
1082,NaT,calvinklein.co.uk,40,139,25,2,2,3,71,0,0,False,False,0,True,NaT,1,1,1,1,1,1,1,1,2,1,1,1,0,0,0,False,0,False,34,7,7,4,9,,0
783,9/27/2021,underarmour.co.uk,30,139,100,3,4,2,71,0,0,False,False,0,True,NaT,1,1,1,1,5,2,1,1,3,1,2,2.6,0,0,0,False,0,False,31,2,0,4,8,,1
652,10/27/2021,deconovo.co.uk,36,180,0,1,3,0,180,0,0,False,False,0,True,10/28/2021,1,2,2,1,2,2,1,1,2,2,2,1.69,1,0,0,False,0,True,28,9,6,3,4,9,0
25,NaT,cover4orthehome.com,40,139,25,2,2,3,71,0,0,False,False,0,True,NaT,1,1,1,1,1,1,1,1,2,1,1,1,1,0,0,False,0,False,7,7,8,1,13,,0
1072,NaT,shop.antenled.com,40,139,25,2,2,3,71,0,0,False,False,0,True,NaT,1,1,1,1,1,1,1,1,2,1,1,1,1,0,0,False,0,False,3,5,1,4,1,,0
17,NaT,irisusainic.com,40,139,25,2,2,3,71,0,0,False,False,0,True,NaT,1,1,1,1,1,1,1,1,2,1,1,1,1,0,0,False,0,False,6,7,4,1,7,,0
918,9/27/2021,nvidia.com,28,139,0,3,4,2,71,0,0,False,False,0,True,NaT,2,2,1,2,1,1,1,1,1,1,1,1.27,0,0,0,False,0,False,9,5,6,4,8,,1
577,10/21/2021,emsa.com,88,180,0,1,3,15,70,0,1,False,False,1,True,10/22/2021,1,2,2,2,2,1,1,1,1,1,1,1.57,0,0,0,False,1,True,16,3,6,3,0,,0
23,NaT,hape.com_uk,40,139,25,2,2,3,71,0,0,False,False,0,True,NaT,1,1,1,1,1,1,1,1,2,1,1,1,1,0,0,False,0,False,16,3,8,1,13,,0
1018,9/28/2021,beautycreationscosmetics.com,30,120,0,1,3,0,40,0,0,False,False,0,True,9/28/2021,4,1,1,1,1,1,1,1,3,3,1,1.64,0,0,0,False,0,True,2,9,4,4,8,,1
679,10/27/2021,systane.myalcon.com,28,100,0,5,1,0,10,0,0,True,True,0,True,10/28/2021,1,3,2,1,1,1,1,1,3,1,1,1.39,0,0,0,False,0,False,8,2,6,3,8,,1
1014,9/28/2021,oppo.com,30,120,0,3,4,0,60,0,0,True,True,0,True,9/29/2021,1,1,1,1,1,1,1,1,2,1,1,1.09,1,0,0,False,0,False,21,5,6,4,7,,0
1064,9/24/2021,renogy.com,99,180,100,3,4,0,60,0,0,False,False,0,True,9/27/2021,2,1,1,1,1,3,1,1,3,3,2,2,0,1,0,False,0,False,39,3,1,4,10,,0
3,NaT,fairytrees.de,40,139,25,2,2,3,71,0,0,False,False,0,True,NaT,1,1,1,1,1,1,1,1,2,1,1,1,1,0,0,False,0,False,5,5,8,0,1,,0
39,11/04/2021,flambeauoutdoors.com,15,60,100,2,3,12,30,1,0,False,False,1,True,11/04/2021,1,1,2,2,1,1,1,1,2,1,1,1.66,0,0,0,False,0,True,21,0,6,2,3,,0
574,10/21/2021,usatoyz.com,29,150,0,4,1,0,70,0,0,False,False,0,True,10/21/2021,1,1,1,4,2,1,3,3,3,4,2,2.16,0,0,0,False,0,False,5,0,1,3,13,,1
2,NaT,homedetail.co.uk,40,139,25,2,2,3,71,0,0,False,False,0,True,NaT,1,1,1,1,1,1,1,1,2,1,1,1,0,0,1,False,0,False,36,7,1,0,12,,0
824,9/27/2021,xiaokoa.com,20,139,0,1,3,2,71,0,0,False,False,0,True,NaT,1,1,1,1,2,2,1,1,1,1,1,1.18,0,0,0,False,0,True,26,3,4,4,8,,1
624,10/17/2021,us.ecco.com,34,100,0,2,3,4,71,0,0,False,False,0,True,10/18/2021,1,1,2,1,2,2,1,1,2,1,1,1.45,0,0,0,False,1,True,18,0,1,3,4,,0
158,11/08/2021,comeap.com,12,60,0,1,3,1,70,0,0,False,False,0,True,11/09/2021,1,1,2,1,1,1,1,1,3,1,2,1.33,0,0,0,False,0,True,15,4,5,2,8,,1
803,9/27/2021,fvtled.com,84,139,96,2,3,2,71,0,0,False,False,0,True,NaT,1,1,1,1,1,1,1,1,2,1,1,1.2,0,1,0,False,0,True,34,7,7,4,10,,0
914,9/27/2021,kidkraft.com,30,139,0,3,4,2,71,0,0,False,False,0,True,NaT,1,1,1,2,1,1,1,1,1,1,1,1.25,0,0,0,False,0,False,39,3,6,4,8,,1
30,NaT,gabel.it,40,139,25,2,2,3,71,0,0,False,False,0,True,NaT,1,1,1,1,1,1,1,1,2,1,1,1,1,0,0,False,0,False,25,2,8,1,1,,0
198,11/07/2021,etc-shop.de,38,220,66,4,1,4,130,0,1,False,False,1,True,11/08/2021,3,2,2,1,3,1,1,1,3,2,1,2.13,0,0,0,False,0,False,8,2,6,2,4,,0
127,11/11/2021,crcindustries.com,20,50,50,3,4,9,30,0,0,False,False,0,True,11/11/2021,1,1,2,2,1,1,1,1,3,2,1,1.56,1,0,0,False,0,False,21,0,6,2,13,13,0
125,11/11/2021,gilmour.com,40,120,0,1,3,0,120,0,0,False,False,0,True,11/11/2021,1,2,2,1,1,1,1,1,1,1,1,1.15,0,0,0,False,0,True,26,3,8,2,8,18,1
161,11/08/2021,aigostore.com,26,120,0,1,3,9,80,1,0,False,False,1,True,11/09/2021,1,3,1,1,1,1,1,1,2,1,1,1.62,1,0,0,False,0,True,33,2,8,2,10,,0
133,11/09/2021,boytone.com,16,120,0,3,4,15,80,0,0,False,False,0,True,11/10/2021,1,2,1,1,1,1,1,1,1,1,1,1.38,1,0,0,False,0,False,29,3,1,2,4,,0
24,NaT,grohe.pl,40,139,25,2,2,3,71,0,0,False,False,0,True,NaT,1,1,1,1,1,1,1,1,2,1,1,1,1,0,0,False,0,False,6,7,2,1,1,,0
22,NaT,cathayhome.com,40,139,25,2,2,3,71,0,0,False,False,0,True,NaT,1,1,1,1,1,1,1,1,2,1,1,1,1,0,0,False,0,False,11,3,1,1,13,,0
86,11/01/2021,tpnailscare.com,28,90,0,3,4,4,30,0,0,False,False,0,True,11/02/2021,1,2,1,1,1,1,1,1,1,1,1,1.08,1,0,0,False,0,False,33,2,6,2,10,,0
1080,NaT,corsair.com,40,139,25,2,2,3,71,0,0,False,False,0,True,NaT,1,1,1,1,1,1,1,1,2,1,1,1,1,0,0,False,0,False,26,3,7,4,4,,0
250,11/15/2021,v-moda.com,20,60,0,1,3,0,40,0,0,False,False,0,True,11/16/2021,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,False,0,True,6,5,6,2,8,,1
325,11/21/2021,tombowusa.com,68,200,100,3,4,1,100,0,0,False,False,0,True,11/22/2021,1,2,2,2,2,1,1,1,1,1,1,1.37,0,0,0,False,0,False,8,2,1,2,8,10,1
55,11/02/2021,dimplex.co.uk,34,70,0,1,3,0,120,0,0,False,False,0,True,11/03/2021,1,2,2,1,3,1,1,1,1,1,1,1.45,0,0,0,False,0,True,15,4,5,2,8,20,1
708,10/24/2021,muselash.com,15,60,0,1,3,0,10,0,0,False,False,0,True,10/25/2021,1,2,2,1,1,1,1,1,3,1,1,1.31,1,0,0,False,0,True,2,2,8,3,2,,0
405,10/04/2021,vogels.com,46,180,0,1,3,5,90,1,0,False,False,1,True,10/05/2021,1,2,2,1,1,1,1,1,3,3,1,1.47,1,0,0,False,0,True,26,3,7,3,1,,0
28,NaT,technisat.com,40,139,25,2,2,3,71,0,0,False,False,0,True,NaT,1,1,1,1,1,1,1,1,2,1,1,1,0,0,0,False,1,False,27,6,4,1,11,,0
697,10/25/2021,marathonind.com,20,100,0,3,4,0,40,0,0,False,False,0,True,10/26/2021,1,2,2,1,1,1,1,1,1,1,1,1.15,0,0,0,False,0,False,8,2,8,3,8,,1
9,NaT,canvaszone.com,40,139,25,2,2,3,71,0,0,False,False,0,True,NaT,1,1,1,1,1,1,1,1,2,1,1,1,0,1,0,False,0,False,16,3,8,0,4,,0
378,10/05/2021,kjpoultry.com,16,30,0,3,4,0,40,0,0,False,False,0,True,10/06/2021,1,2,2,1,1,1,1,1,3,1,1,1.31,0,0,0,False,0,False,13,9,4,3,8,,1
673,10/26/2021,ovente.com,30,180,0,3,4,19,120,1,1,False,False,2,True,10/27/2021,1,2,2,1,3,1,1,1,3,1,1,2.39,0,0,0,False,0,False,39,3,6,3,8,,1
513,10/11/2021,es.steelseries.com,38,150,84,3,4,0,60,0,0,False,False,0,True,10/13/2021,1,1,2,1,1,1,1,1,1,3,3,1.39,0,0,0,False,0,False,2,2,6,3,8,,1
546,10/10/2021,assets.oliverpeoples.com,30,300,100,3,4,40,60,1,0,False,False,1,True,10/11/2021,1,1,1,1,2,1,1,1,2,2,3,1.67,0,0,0,False,0,False,34,5,6,3,8,,1
420,10/03/2021,whiskas.com,50,30,0,1,3,0,30,0,0,False,False,0,True,10/04/2021,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,False,0,True,23,5,7,3,11,,0
73,11/01/2021,adaxiarts.com,12,60,100,1,3,18,60,1,1,False,False,2,True,11/02/2021,1,2,2,1,1,1,1,1,2,1,1,1.99,0,0,0,False,0,True,29,3,6,2,8,,1
1062,9/23/2021,oase.com,32,110,100,2,3,0,60,0,0,False,False,0,True,9/27/2021,2,2,2,1,1,1,1,1,2,1,1,1.36,0,0,0,False,0,True,0,9,1,4,8,,1
801,9/27/2021,palmers.com,24,139,100,3,4,2,71,0,0,False,False,0,True,NaT,1,1,1,1,1,1,1,1,2,2,1,1.4,0,0,0,False,0,False,13,2,6,4,8,,1
19,NaT,consumer.huawei.com,40,139,25,2,2,3,71,0,0,False,False,0,True,NaT,1,1,1,1,1,1,1,1,2,1,1,1,0,0,1,False,0,False,24,2,1,1,11,,0
471,10/14/2021,shopdoona.com,22,120,100,3,4,0,50,0,0,False,False,0,True,10/14/2021,3,1,1,3,1,1,1,1,3,3,1,1.62,1,0,0,False,0,False,2,2,1,3,3,,0
8,NaT,tapiso.de,40,139,25,2,2,3,71,0,0,False,False,0,True,NaT,1,1,1,1,1,1,1,1,2,1,1,1,1,0,0,False,0,False,9,1,1,0,10,,0
962,9/29/2021,enjoylifefoods.com,22,100,0,3,4,5,80,1,0,False,False,1,True,9/30/2021,1,1,1,2,1,2,1,1,1,1,1,1.18,0,0,0,False,0,False,11,5,4,4,8,19,1
583,10/20/2021,seidenblumen-ross.de,36,150,0,1,3,1,40,0,1,False,False,1,True,10/20/2021,1,1,2,1,1,1,1,1,1,2,1,1.35,1,0,0,False,0,True,26,3,6,3,10,,0
1076,NaT,rbxactive.com,40,139,25,2,2,3,71,0,0,False,False,0,True,NaT,1,1,1,1,1,1,1,1,2,1,1,1,0,0,0,False,1,False,41,8,9,4,6,,0
271,11/15/2021,winixamerica.com,68,180,71,3,4,0,90,0,0,False,False,0,True,11/15/2021,2,4,1,3,1,1,4,1,2,1,1,1,0,0,0,False,0,False,5,0,1,2,8,,1
874,9/27/2021,no.co,85,139,0,3,4,2,71,0,0,False,False,0,True,NaT,1,2,2,1,1,4,1,1,1,1,2,1.55,0,0,0,False,0,False,13,2,6,4,8,,1
1030,9/28/2021,aktradingcompany.com,34,100,0,1,3,7,100,1,0,False,False,1,True,9/28/2021,1,2,2,3,2,2,1,1,1,2,1,1.7,0,0,0,False,0,True,18,2,4,4,8,,1
176,11/09/2021,marshallheadphones.com,33,160,0,3,4,0,120,0,1,False,False,1,True,11/10/2021,1,1,1,1,1,1,1,1,1,1,1,1.2,0,0,0,False,0,False,32,4,5,2,8,,1
531,10/11/2021,littletikes.co.uk,80,180,100,3,4,6,80,1,0,False,False,1,True,10/12/2021,2,2,2,1,1,1,1,1,3,1,1,1.59,1,0,0,False,0,False,39,3,4,3,4,,0
1074,NaT,beauticom.com,40,139,25,2,2,3,71,0,0,False,False,0,True,NaT,1,1,1,1,1,1,1,1,2,1,1,1,1,0,0,False,0,False,8,1,8,4,10,,0
1078,NaT,drbvitamins.com,40,139,25,2,2,3,71,0,0,False,False,0,True,NaT,1,1,1,1,1,1,1,1,2,1,1,1,1,0,0,False,0,False,34,7,7,4,11,,0
174,11/08/2021,crossbeats.com,50,300,0,1,3,0,90,0,0,False,False,0,True,11/09/2021,1,2,1,2,1,1,1,1,2,1,1,1.23,1,0,0,False,0,True,11,5,1,2,3,,0
980,9/30/2021,babysoyusa.com,100,240,0,1,3,0,60,0,0,False,False,0,True,9/30/2021,1,1,1,2,2,2,1,1,3,1,2,1.67,0,0,0,False,0,True,16,9,8,4,8,17,1
495,10/12/2021,laprairie.com,11,80,0,3,4,0,50,0,0,False,False,0,True,10/13/2021,2,1,2,2,2,2,1,1,2,1,1,1.6,0,0,0,False,1,False,18,0,1,3,11,,0
373,10/07/2021,volcom.com,56,270,66,4,1,17,80,1,0,True,False,1,True,10/08/2021,4,2,2,1,3,3,1,1,1,1,1,2.19,0,0,0,False,0,False,0,9,6,3,8,,1
319,11/21/2021,kolcraft.com,14,70,0,3,4,3,20,0,0,False,False,0,True,11/22/2021,1,1,2,1,1,1,1,1,1,1,1,1.07,0,0,0,False,0,False,33,2,1,2,8,,1
451,10/07/2021,hypergo.com,13,101,0,2,3,2,50,0,0,False,False,0,True,10/08/2021,1,1,1,1,2,2,1,1,3,2,1,1.54,0,0,0,False,0,True,4,4,1,3,8,,1
68,11/01/2021,yellowjacket.com,32,90,0,3,4,7,25,0,1,False,False,1,True,11/02/2021,1,2,2,1,1,2,1,1,1,1,1,1.64,0,0,0,False,0,False,8,2,6,2,8,,1
1071,NaT,sigikid.de,40,139,25,2,2,3,71,0,0,False,False,0,True,NaT,1,1,1,1,1,1,1,1,2,1,1,1,1,0,0,False,0,False,22,2,8,4,4,,0
741,9/27/2021,pl.akg.com,20,139,100,5,0,2,71,0,0,False,False,0,True,NaT,1,1,1,1,3,1,1,1,3,1,1,1.8,0,0,0,False,0,False,31,2,6,4,8,,1
734,NaT,momeni.com,40,139,25,2,2,3,71,0,0,False,False,0,True,NaT,1,1,1,1,1,1,1,1,2,1,1,1,1,0,0,False,0,False,30,5,7,3,11,,0
446,10/07/2021,uturnaudio.com,20,60,0,1,3,0,30,0,0,False,False,0,True,10/08/2021,1,1,1,2,1,1,1,1,3,1,1,1.23,0,0,0,False,0,True,13,9,1,3,8,,1
406,10/05/2021,playosmo.com,15,30,100,1,3,0,71,0,0,False,False,0,True,10/05/2021,1,2,2,1,1,1,1,1,3,3,1,1.47,0,0,0,False,0,True,8,3,7,3,8,,1
13,NaT,maxxhaul.com,40,139,25,2,2,3,71,0,0,False,False,0,True,NaT,1,1,1,1,1,1,1,1,2,1,1,1,1,0,0,False,0,False,40,3,1,0,3,,0
704,10/25/2021,carpetcity.de,28,180,0,4,1,20,180,1,0,False,False,1,True,10/27/2021,1,1,1,1,1,2,1,1,1,1,1,1.55,1,0,0,False,0,False,29,3,6,3,2,23,0
529,10/11/2021,newbalance.es,50,300,0,3,4,0,90,0,0,False,False,0,True,10/12/2021,2,1,1,2,2,3,1,1,1,1,1,1.6,1,0,0,False,0,False,11,5,4,3,0,,0
867,9/27/2021,harrisonhoward.com,34,139,0,4,1,2,71,0,0,False,False,0,True,NaT,1,1,1,1,1,4,1,1,2,1,1,1.8,0,0,0,False,0,False,18,2,0,4,8,,1
768,9/27/2021,canon.ca,54,139,0,4,1,2,71,0,0,False,False,0,True,NaT,1,1,1,1,2,3,1,1,1,1,1,1.6,0,0,0,False,0,False,9,3,1,4,8,,1
817,9/27/2021,alesis.com,24,139,4,4,1,2,71,0,0,True,True,0,True,NaT,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,False,0,False,31,2,8,4,8,,1
1083,NaT,jack-wolfskin.de,40,139,25,2,2,3,71,0,0,False,False,0,True,NaT,1,1,1,1,1,1,1,1,2,1,1,1,1,0,0,False,0,False,12,7,7,4,2,,0
340,11/18/2021,orgain.com,34,180,0,1,3,0,60,0,0,False,False,0,True,11/19/2021,1,1,1,1,1,1,2,1,2,2,1,1.24,0,0,0,False,0,True,34,4,5,2,8,,1
792,9/27/2021,india.ray-ban.com,30,139,0,1,3,2,71,0,0,False,False,0,True,NaT,1,1,1,1,3,2,1,1,5,3,4,3.4,0,0,0,False,0,True,14,4,8,4,8,,1
1,NaT,lipton.com,40,139,25,2,2,3,71,0,0,False,False,0,True,NaT,1,1,1,1,1,1,1,1,2,1,1,1,1,0,0,False,0,False,1,1,4,0,11,,0
31,NaT,smartwool.com,40,139,25,2,2,3,71,0,0,False,False,0,True,NaT,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0,False,0,False,19,2,9,1,9,,0
1066,9/24/2021,zotac.com,133,240,0,1,3,0,30,0,0,False,False,0,True,9/28/2021,2,2,2,1,1,1,1,1,1,1,1,1.6,0,0,0,False,0,True,39,3,4,4,8,,1
121,11/11/2021,dymo.com.pl,64,160,100,4,4,1,180,0,0,False,False,0,True,11/12/2021,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,False,0,False,39,3,1,2,8,,1
978,9/30/2021,scott-sports.com,92,300,0,1,3,0,120,0,0,False,False,0,True,9/30/2021,1,2,1,1,3,3,1,1,1,2,1,1.55,0,0,0,False,0,True,2,2,8,4,8,,1
987,9/28/2021,gurunanda.com,11,50,0,1,3,0,30,0,0,False,False,0,True,9/29/2021,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,False,0,True,34,7,4,4,8,,1
448,10/07/2021,grayl.com,21,120,0,5,1,0,70,0,0,True,True,0,True,10/11/2021,1,1,1,2,2,1,1,1,2,2,1,1.38,0,0,0,False,0,False,14,4,6,3,8,,1
443,10/07/2021,purplepandastore.com,25,120,0,5,1,0,60,0,0,True,True,0,True,10/12/2021,1,1,1,1,1,1,1,1,2,1,1,1.08,0,0,0,False,0,False,23,5,6,3,8,,1
913,9/27/2021,logitech.com,151,139,0,2,3,2,71,0,0,False,False,0,True,NaT,1,1,1,2,2,1,1,1,1,1,2,1.43,0,0,0,False,0,True,23,5,6,4,8,,1
791,9/27/2021,rollplay.com,20,139,100,2,3,2,71,0,0,False,False,0,True,NaT,1,1,1,1,1,1,1,1,2,2,2,1.6,0,0,0,False,0,True,32,2,8,4,8,,1
29,NaT,aleradetails.com,40,139,25,2,2,3,71,0,0,False,False,0,True,NaT,1,1,1,1,1,1,1,1,2,1,1,1,0,0,1,False,0,False,17,6,3,1,6,,0
744,9/27/2021,beliani.de,20,139,0,1,3,2,71,0,0,False,False,0,True,NaT,1,1,1,1,1,1,1,1,1,1,2,1.2,0,0,0,False,0,True,9,5,1,4,8,,1
